alder	kon	hojde	vaegt	helleVaegt	hest	matematik	figur1	figur2	figur3
21	Mand	182,00	82	49	Nej	4	50	120	50
22	Mand	183,00	73	60	Nej	7	63	113	42
22	Kvinde	175,50	93,3	69	Nej	4	60	103	46
20	Kvinde	185,00	74	50	Nej	10	70	80	40
25	Kvinde	158,00	54	55	Nej	2	87	134	46
21	Kvinde	172,00	65	58	Nej	7	70	100	50
20	Kvinde	180,00	75	69	Nej	7	83	124	41
29	Kvinde	157,00	58	64	Nej	4	80	130	60
20	Kvinde	159,00	54	62	Nej	2	75	120	45
27	Mand	173,00	75	60	Nej	7	50	70	30
21	Kvinde	165,00	55	60	Ja	2	120	130	80
22	Mand	182,00	70	58	Nej	4	62	88	40
21	Mand	180,00	68	60	Nej	4	55	115	32
21	Kvinde	173,00	65	65	Nej	7	70	100	50
20	Mand		83	65	Nej	7	57	71	40
21	Mand	180,00	83	67,5	Nej	4	54	73	32
20	Kvinde	157,00	44	65	Nej	7	120	115	110
23	Mand	187,00	83	60	Nej	7	66	101	33
21	Kvinde	153,00	57	67	Ja	10	60	98	53
23	Kvinde	161,00	58	64	Ja	2	50	70	30
21	Kvinde	178,00	70	62	Nej	10	48	84	52
25	Mand	191,00	72	64	Nej	7	108	150	64
34	Kvinde	172,00	65	60	Ja,Nej	2	75	100	60
20	Kvinde	176,00	63	67	Ja	10	47	74	33
21	Mand	182,00	63	66	Nej	4	85	120	80
24	Kvinde	167,00	55	65	Ja	0	35	70	24
19	Kvinde	160,00	49	55	Nej	7	88	105	45
22	Kvinde	168,00	62	58	Nej	7	53	71	35
27	Kvinde	170,00	55	60	Nej	10	70	120	50
20	Kvinde	170,00	63	55	Ja	2	128	128	60
22	Mand	188,00	65	70	Nej	2	35	55	25
28	Kvinde	165,00	85	65	Ja	4	90	130	60
20	Kvinde	175,00	67	65	Nej	10	65	72	46
23	Kvinde	173,00	70	68	Nej	10	60	120	48
21	Kvinde		50	58	Nej	4	50	80	50
22	Kvinde	169,00	62	63	Nej	10	88	166	70
22	Mand	184,00	85	70	Ja	4	86	76	40
21	Kvinde	163,00	53	61	Ja	10	100	180	45
21	Kvinde	166,50	61	63	Ja	7	75	125	40
